Make	Model	Trim																																																																																				
212	T01																																																																																					
Abarth	695	595 Competizione	595 Scorpionearo	124 Spider																																																																																		
Acura	MDX	TLX	RDX	NSX	ILX																																																																																	
AION	ES																																																																																					
Alfa Romeo	147	156	159	166	4C	Brera	GT Coupe	Giulia	Giulia Quadrifoglio	Giulietta	Giulietta QV	Mito	Spider	Stelvio	Stelvio Quadrifoglio	Tonale																																																																						
Arcfox	Arcfox Alpha S																																																																																					
Aston Martin	DB11	DB11 Volante	DB12 Coupe	DB12 Volante	DB7	DB9	DB9 Volante	DBS	DBS Volante	DBX	One-77	Rapide	V12 Vantage	V12 Vantage Roadster	V8 Vantage	V8 Vantage Roadster	Valour	Vanquish	Vanquish Volante	Zagato																																																																		
Lotus	Emeya	Eletre	Emira	Evija	Exige	Elise	Evora																																																																															
LS Auto																																																																																						
Lucid	Air																																																																																					
Luxgen	Luxgen7 SUV	Luxgen7 MPV	U6	S5	U7																																																																																	
Lynk and Co	900	01	03	05	06	09																																																																																
Mahindra	Scorpio	Scorpio Pikup	XUV500																																																																																			
Maserati	GranTurismo	Grecale	Levante	MC20	Ghibli	Quattroporte	GranCabrio	Coupe	Spyder																																																																													
Maxus	T60 Pickup	V80	G10	G90 Van	D90 MAX	D90	D60	G50	G50 Plus																																																																													
Maybach	57	62																																																																																				
Mazda	2	2 Sedan	3	3 Sedan	6	6 Ultra	6 Wagon	B-Series	CX-3	CX-30	CX-5	CX-60	CX-7	CX-9	CX-90	MX-5	MX-5 RF																																																																					
McLaren	540C Coupe	570GT Coupe	570S Coupe	570S Spider	650S	650S Spider	675LT	675LT Spider	720S	720S Spider	750S	750S Spider	765LT	765LT Spider	Artura	Artura Spider	GT	GTS	MP4-12C	MP4-12C Spider	P1	Senna																																																																
Mercedes-Benz	A 35 AMG	A 45 AMG	A-Class	A-Class Sedan	AMG GT	AMG GT 4-door Coupe	AMG GT Roadster	B-Class	C 63 AMG	C 63 AMG Coupe	C-Class	C-Class Coupe	CL-Class	CLA 35 AMG	CLA 45 AMG	CLA-Class	CLC-Class	CLE Coupe	CLK-Class	CLS 53 AMG	CLS 63 AMG	CLS Shooting Brake	CLS-Class	E 43 AMG	E 53 AMG	E 55 AMG	E 63 AMG	E-Class	E-Class Cabriolet	E-Class Coupe	EQA	EQB	EQC	EQE	EQE 53 AMG	EQE AMG SUV	EQE SUV	EQS	G 580	G 63 AMG	G 65 AMG	G-Class	GL-Class	GLA 35 AMG	GLA-Class	GLB	GLB 35 AMG	GLC 43 AMG	GLC 43 AMG Coupe	GLC 63 AMG	GLC 63 AMG Coupe	GLC-Class	GLC-Class Coupe	GLE 63 AMG	GLE 63 AMG Coupe	GLE-Class	GLE-Class Coupe	GLK-Class	GLS 63 AMG	GLS-Class	M-Class	ML 63 AMG	R-Class	S 63 AMG	S 63 AMG Coupe	S 65 AMG	S 65 AMG Coupe	S-Class	S-Class Coupe	S-Class Maybach	SL 43 Roadster AMG	SL 55 Roadster AMG	SL 63 AMG	SL 63 AMG Roadster	SL 65 AMG	SL-Class	SLC 43 AMG	SLC-Class	SLK-Class	SLR McLaren	SLS AMG	SLS AMG Roadster	Sprinter	V-Class	Viano	Vito
Mercury	Grand Marquis	Mountaineer	Milan	Mariner	Montego																																																																																	
MG	3 Hatchback	350	360	4 EV	5	550	6	7	750	8	Cyberster	GS	GT	HS	ONE	RX5	RX8	RX9	Rakan	Whale	ZS																																																																	
